Date,Close/Last,Volume,Open,High,Low
04/04/2025,$62.40,8339059,$64.68,$65.39,$62.35
04/03/2025,$66.36,5972557,$66.22,$68.48,$65.24
04/02/2025,$67.42,4153264,$67.01,$68.24,$66.6786
04/01/2025,$67.80,5340449,$67.595,$68.97,$67.08
03/31/2025,$67.73,5533694,$67.02,$68.11,$66.24
03/28/2025,$67.16,5705517,$67.295,$67.86,$66.29
03/27/2025,$66.81,3592401,$65.68,$67.34,$65.20
03/26/2025,$65.58,4241247,$66.21,$66.525,$65.085
03/25/2025,$66.30,4084578,$66.86,$67.20,$66.12
03/24/2025,$66.54,4209000,$66.34,$66.62,$64.87
03/21/2025,$65.78,15353950,$66.18,$66.18,$65.21
03/20/2025,$66.34,4143886,$66.78,$68.00,$66.2342
03/19/2025,$67.20,5934897,$65.50,$67.57,$65.36
03/18/2025,$65.24,4625178,$67.31,$67.50,$64.88
03/17/2025,$67.44,4344933,$65.315,$67.88,$65.28
03/14/2025,$65.28,3257982,$64.68,$65.455,$64.32
03/13/2025,$64.25,3471128,$65.13,$65.77,$64.07
03/12/2025,$65.13,5012573,$65.48,$66.37,$64.63
03/11/2025,$65.22,7255463,$68.30,$68.47,$65.03
03/10/2025,$68.19,9351992,$70.34,$71.48,$66.82
03/07/2025,$70.51,7389610,$67.61,$70.719,$67.37
03/06/2025,$67.87,5342909,$66.19,$67.90,$66.08
03/05/2025,$66.55,4965913,$66.66,$67.175,$65.195
03/04/2025,$66.67,9032222,$65.10,$68.04,$64.975
03/03/2025,$65.22,5689032,$65.005,$66.47,$64.7503
02/28/2025,$64.74,8587679,$63.413,$64.76,$63.075
02/27/2025,$63.48,17663380,$64.29,$65.81,$61.55
02/26/2025,$69.14,8935593,$71.115,$71.61,$68.84
02/25/2025,$70.93,6185130,$70.38,$71.02,$69.77
02/24/2025,$69.99,6287156,$69.68,$70.69,$69.13
02/21/2025,$69.39,4012648,$69.79,$70.27,$69.10
02/20/2025,$69.46,2910642,$69.40,$69.57,$68.39
02/19/2025,$69.32,3441187,$68.81,$69.48,$67.52
02/18/2025,$69.79,3784349,$69.99,$70.11,$69.065
02/14/2025,$69.90,3501987,$70.00,$70.03,$69.28
02/13/2025,$69.26,3782441,$67.95,$69.375,$67.30
02/12/2025,$67.94,3090849,$67.63,$68.50,$67.08
02/11/2025,$68.46,3615543,$67.82,$69.22,$67.56
02/10/2025,$68.26,2847338,$68.04,$68.62,$67.85
02/07/2025,$67.83,2608014,$67.38,$68.64,$67.38
02/06/2025,$67.50,2641092,$67.47,$68.03,$67.08
02/05/2025,$67.39,4622919,$67.12,$68.65,$66.835
02/04/2025,$66.95,3035146,$67.45,$67.72,$66.14
02/03/2025,$67.18,3541437,$66.60,$67.63,$66.37
01/31/2025,$67.48,3347209,$67.41,$67.92,$67.08
01/30/2025,$67.52,2973282,$66.50,$67.965,$66.43
01/29/2025,$66.00,3537542,$67.474,$67.635,$65.955
01/28/2025,$67.19,3202394,$66.51,$67.265,$66.00
01/27/2025,$66.84,4402865,$64.68,$66.86,$64.30
01/24/2025,$64.81,2522610,$64.992,$65.42,$64.42
01/23/2025,$64.75,5689771,$63.81,$65.79,$63.50
01/22/2025,$63.88,3875810,$64.63,$65.06,$63.83
01/21/2025,$64.63,3863911,$65.895,$66.1113,$63.91
01/17/2025,$66.19,3719096,$65.50,$66.4739,$65.50
01/16/2025,$65.06,2945396,$64.80,$65.30,$64.41
01/15/2025,$65.11,4351432,$64.83,$65.57,$64.20
01/14/2025,$64.41,4513876,$65.65,$66.23,$64.20
01/13/2025,$65.72,4122218,$64.502,$66.36,$64.27
01/10/2025,$65.90,8234580,$68.705,$69.125,$65.85
01/08/2025,$69.40,22044710,$67.90,$71.5199,$67.81
01/07/2025,$63.17,3867301,$63.64,$64.38,$62.90
01/06/2025,$62.94,5520633,$62.01,$63.7499,$61.80
01/03/2025,$61.61,4665088,$62.53,$62.66,$61.11
01/02/2025,$62.27,2572596,$61.92,$62.96,$61.87
12/31/2024,$61.95,2131378,$62.28,$62.68,$61.865
12/30/2024,$62.06,3293847,$62.46,$62.67,$60.74
12/27/2024,$62.81,1997479,$63.36,$63.80,$62.46
12/26/2024,$63.81,1840641,$63.57,$64.12,$63.33
12/24/2024,$63.78,1471910,$63.57,$63.90,$63.08
12/23/2024,$63.63,4131253,$64.80,$65.165,$63.32
12/20/2024,$65.01,12499950,$63.67,$65.49,$63.35
12/19/2024,$63.95,5237989,$64.40,$65.63,$63.72
12/18/2024,$64.11,7134743,$64.52,$66.52,$64.08
12/17/2024,$64.23,4507261,$65.20,$65.20,$63.71
12/16/2024,$63.64,4414189,$63.48,$64.185,$62.60
12/13/2024,$63.84,4278640,$63.88,$64.26,$63.50
12/12/2024,$63.90,3771126,$63.10,$64.57,$63.03
12/11/2024,$63.17,4688957,$63.23,$64.39,$63.155
12/10/2024,$63.23,5171371,$62.55,$63.50,$61.86
12/09/2024,$65.14,5440285,$63.73,$66.06,$63.26
12/06/2024,$63.62,2871330,$64.01,$64.48,$63.59
12/05/2024,$63.62,2373524,$63.27,$63.94,$63.06
12/04/2024,$63.32,3406954,$62.97,$64.00,$61.16
12/03/2024,$62.94,2982859,$62.91,$63.505,$62.57
12/02/2024,$63.17,4655688,$63.21,$63.31,$62.15
11/29/2024,$63.29,3266358,$64.01,$64.40,$63.25
11/27/2024,$64.31,2818597,$65.20,$65.20,$64.07
11/26/2024,$65.09,3192727,$64.92,$65.505,$64.78
11/25/2024,$64.99,7571805,$63.745,$65.91,$63.68
11/22/2024,$63.24,3104477,$61.77,$63.43,$61.57
11/21/2024,$61.41,3527778,$60.98,$61.9926,$60.44
11/20/2024,$60.82,3980985,$60.63,$60.94,$60.12
11/19/2024,$61.10,3654664,$61.01,$61.55,$60.40
11/18/2024,$61.41,2731302,$61.39,$61.87,$61.13
11/15/2024,$61.43,5167624,$62.30,$62.46,$61.07
11/14/2024,$62.30,4195571,$61.60,$62.73,$61.14
11/13/2024,$61.89,4251483,$61.68,$62.09,$60.955
11/12/2024,$61.50,4008037,$62.11,$62.74,$61.00
11/11/2024,$62.43,3432938,$62.00,$62.89,$61.97
11/08/2024,$61.89,3260382,$62.41,$62.50,$61.50
